AL0000	other	None
AL0100	error	ERR_InvalidMultilineComment
AL0101	error	ERR_InvalidDecimalLiteral
AL0102	error	ERR_InvalidInt64Literal
AL0103	error	ERR_InvalidInt32Literal
AL0104	error	ERR_SyntaxError
AL0105	error	ERR_IdentifierExpectedKW
AL0106	error	ERR_ForStatementToOrDownToExpected
AL0107	error	ERR_IdentifierExpected
AL0108	error	ERR_IndexersMustHaveAtLeastOneValue
AL0109	error	ERR_UnexpectedToken
AL0110	error	ERR_OrphanedElseStatement
AL0111	error	ERR_SemicolonExpected
AL0112	error	ERR_InvalidAttribute
AL0113	error	ERR_AtLeastOneDimension
AL0114	error	ERR_IntegerLiteralExpected
AL0115	error	ERR_ObjectTypeExpected
AL0116	error	ERR_InvalidPropertyOptionValue
AL0117	error	ERR_IllegalStatement
AL0118	error	ERR_NameNotInContext
AL0119	error	ERR_DuplicateParamName
AL0120	error	ERR_LocalIllegallyOverrides
AL0121	error	ERR_DuplicateVariableName
AL0122	error	ERR_NoImplicitConversion
AL0123	error	ERR_DuplicateReturnValueName
AL0124	error	ERR_PropertyInfoNotAvailable
AL0125	error	ERR_MethodNameExpected
AL0126	error	ERR_BadArgCount
AL0127	error	ERR_NonInvocableMemberCalled
AL0128	error	ERR_LanguageIdExpected
AL0129	error	ERR_AssgLvalueExpected
AL0130	error	ERR_RefLvalueExpected
AL0131	error	ERR_CharAllowedFormatIsWrong
AL0132	error	ERR_NoSuchMember
AL0133	error	ERR_BadArgType
AL0134	error	ERR_UnknownType
AL0135	error	ERR_NoCorrespondingArgument
AL0136	error	ERR_ForLoopVariableMustBeNumeric
AL0137	error	ERR_NoBreak
AL0138	error	ERR_ArrayNotValidForCase
AL0139	error	ERR_ExitValueNotAllowed
AL0140	error	ERR_ExpressionNotValidForWith
AL0142	error	ERR_TemporaryMustBeTable
AL0143	error	ERR_BadIndexLHS
AL0144	error	ERR_BadIndexCount
AL0145	error	ERR_ArrayNotValidForAssign
AL0146	error	ERR_ArrayIsTooBig
AL0147	error	ERR_ArrayDimensionMustBePositiveNumber
AL0148	error	ERR_InvalidTableFilter
AL0149	error	ERR_ElseWithoutIf
AL0150	error	ERR_InvalidConstExpression
AL0151	error	ERR_LeftMustBeOption
AL0152	error	ERR_DuplicateOption
AL0153	error	ERR_PropertyCannotBeBlank
AL0154	error	ERR_FieldLengthTooBig
AL0155	error	ERR_DuplicateMemberName
AL0156	error	ERR_InvalidFieldType
AL0157	error	ERR_InvalidVariableType
AL0158	error	ERR_InvalidParameterType
AL0159	error	ERR_InvalidReturnType
AL0160	error	ERR_InvalidLanguageId
AL0161	error	ERR_BadAccess
AL0162	error	ERR_UnknownTrigger
AL0163	error	ERR_InvalidTriggerSignature
AL0164	error	ERR_DuplicateTrigger
AL0165	error	ERR_TriggersCannotBeCalledDirectly
AL0166	error	ERR_BadArgMember
AL0167	error	ERR_MissingAssociatedPropertyMultipleValues
AL0168	error	ERR_MissingAssociatedProperty
AL0169	error	ERR_InvalidOptionValue
AL0170	error	ERR_EqualExpected
AL0171	error	ERR_InvalidPropertyValue
AL0172	error	ERR_AmbigUnaryOp
AL0173	error	ERR_BadUnaryOp
AL0174	error	ERR_AmbigBinaryOps
AL0175	error	ERR_BadBinaryOps
AL0176	error	ERR_InvalidCalculationFormulaMethod
AL0177	error	ERR_InvalidApplicationObjectIdentifier
AL0178	error	ERR_ExpectedFilterKeywordOrIdentifier
AL0179	error	ERR_ExpectedIdentifierOrMemberAccess
AL0180	error	ERR_ExpectedFilterKeyword
AL0181	error	ERR_InvalidFilterExpression
AL0182	error	ERR_ExpectedIdentifierOrLiteral
AL0183	error	ERR_UnexpectedCharacter
AL0184	error	ERR_InvalidPropertyExpression
AL0185	error	ERR_MissingApplicationObject
AL0186	error	ERR_MissingTypeReference
AL0187	error	ERR_AttributeAllowedOnlyOn
AL0189	error	ERR_MutuallyExclusiveAttributes
AL0190	error	ERR_InvalidTimeLiteral
AL0191	error	ERR_InvalidDateLiteral
AL0192	error	ERR_ReturnValueMustBeUsed
AL0193	error	ERR_BadArgTypeMustBeSameAsFirstArgument
AL0195	error	ERR_InvalidPermissionValue
AL0196	error	ERR_AmbigCall
AL0197	error	ERR_AppObjDuplicateName
AL0198	error	ERR_ExpectedApplicationObjectKeyword
AL0199	error	ERR_InvalidSumIndexKeyType
AL0200	warning	WRN_PropertyIsObsolete
AL0201	error	ERR_FlowFieldMustBeBoolean
AL0202	error	ERR_FlowFieldMustBeInteger
AL0203	error	ERR_SumAverageOnlySupportedForNumericFields
AL0204	error	ERR_FieldTypeMismatch
AL0206	error	ERR_DuplicateFieldId
AL0207	error	ERR_ExpressionMustBeTextType
AL0208	error	ERR_ExpressionMustBeBooleanType
AL0210	error	ERR_DuplicateControlId
AL0211	error	ERR_InvalidAreaKind
AL0212	error	ERR_DuplicateAreaKind
AL0213	error	ERR_AreaOnlyValidOnPageOfType
AL0214	error	ERR_FactBoxesNotAllowedOnParts
AL0215	error	ERR_PartsCannotContainParts
AL0216	error	ERR_FactBoxesCanOnlyContainParts
AL0217	error	ERR_OnlyGroupsAndPartsAreValidInRoleCenters
AL0218	error	ERR_ExpectedIntLiteral
AL0219	error	ERR_ExpectedStringLiteral
AL0220	error	ERR_ExpectedBooleanLiteral
AL0221	error	ERR_ValueOutsideValidRange
AL0222	error	ERR_InvalidSymbolId
AL0223	error	ERR_MissingAssociatedPropertySingleValue
AL0224	error	ERR_ExpressionExpected
AL0227	error	ERR_DuplicateKeyId
AL0228	error	ERR_DuplicateFieldGroupId
AL0229	error	ERR_InvalidExtendedDataTypeRatio
AL0230	error	ERR_RequiresTextualExtendedDataType
AL0231	error	ERR_DuplicateMemberId
AL0232	error	ERR_PropertyValueMustBePositive
AL0234	error	ERR_DuplicateActionId
AL0235	warning	WRN_EmptyConstIsObsolete
AL0236	error	ERR_EmptyConstIsNotSupported
AL0238	error	ERR_BadAttributeArgCount
AL0239	error	ERR_DuplicateAttribute
AL0240	error	ERR_ParameterTypeDoesNotMatchAttribute
AL0241	error	ERR_ParameterCountDoesNotMatchAttribute
AL0242	error	ERR_InvalidAttributeArgumentSyntax
AL0243	error	ERR_BadAttributeCodeunitSubtype
AL0244	error	ERR_ReturnValueTypeDoesNotMatchAttribute
AL0245	error	ERR_VisibilityDoesNotMatchAttribute
AL0246	error	ERR_NonCustomizableProperty
AL0247	error	ERR_ExtensionTargetNotFound
AL0250	error	ERR_RequiresMediaExtendedDataType
AL0251	warning	WRN_PermissionObjectIsMissing
AL0252	error	ERR_ExpectedAscendingOrDescendingKeyword
AL0254	warning	WRN_SortingFieldShouldBePartOfKey
AL0255	error	ERR_RequiresApplicationObjectRunObject
AL0256	error	ERR_FlowFieldCannotBePartOfKeys
AL0257	error	ERR_InvalidDateTimeLiteral
AL0259	error	ERR_SqlIndexOnPKMustBeIdentical
AL0260	error	ERR_PrimaryKeyAppendedToSecondaryKey
AL0261	error	ERR_DuplicateListMember
AL0262	error	ERR_ClusteredKeyCanAppearOnce
AL0263	error	ERR_PrimaryKeyMustBeEnabled
AL0264	error	ERR_AppObjDuplicateId
AL0267	error	ERR_ActionsAreNotAllowedOnThisControlType
AL0268	error	ERR_GroupingOfActionsNotAllowed
AL0269	warning	WRN_ERR_PagePartMustBePart
AL0270	error	ERR_ControlNotFound
AL0271	error	ERR_ActionNotFound
AL0272	error	ERR_AnchorMustBeGroupType
AL0273	warning	WRN_ERR_ReuseOfAreaName
AL0274	error	ERR_AnchorCannotBeArea
AL0275	error	ERR_AmbigSymbolReference
AL0276	error	ERR_ExpectedTimeLiteral
AL0277	error	ERR_ExpectedDateLiteral
AL0278	error	ERR_ExpectedDateTimeLiteral
AL0279	error	ERR_TableKeyTooManyFields
AL0280	error	ERR_EventNotFound
AL0281	error	ERR_MemberNotAnEvent
AL0282	error	ERR_EventUnmatchedParameter
AL0283	error	ERR_EventReturnNotValid
AL0284	error	ERR_EventSubscriberParameterTypeMismatch
AL0285	error	ERR_EventPublisherIncludeSenderWithParameterSender
AL0286	error	ERR_EventPublisherCannotContainCode
AL0287	error	ERR_EventPublisherCannotContainVariables
AL0288	error	ERR_EventParameterByVarIsNotAllowed
AL0290	error	ERR_EventElementNameShouldBeEmpty
AL0291	error	ERR_EventTriggerEventPageMissingSourceTable
AL0292	error	ERR_ExpectedFieldFilterOrConstKeyword
AL0293	error	ERR_PropertyValueNotAValidOptionValue
AL0294	error	ERR_PropertyTypeFieldTypeMismatch
AL0295	error	ERR_FieldNotFound
AL0296	error	ERR_SymbolCannotBeUsedInThisContext
AL0297	error	ERR_ApplicationObjectIdentifierOutOfBounds
AL0298	error	ERR_InvalidStyleExpressionPropertyValue
AL0299	warning	WRN_ERR_MemberNameOnlyAllowedForTriggers
AL0300	error	ERR_PropertyUsedAsMethod
AL0301	error	ERR_ListCannotEndWithSeparator
AL0302	error	ERR_UseBeforeDeclaration
AL0303	error	ERR_AttributeNotOnAValidSymbol
AL0304	error	ERR_IdentifierTooLong
AL0305	error	ERR_ObjectIdentifierTooLong
AL0306	error	ERR_FieldListCannotBeEmpty
AL0307	error	ERR_SourceTableUnreachable
AL0308	error	ERR_PrimaryKeyMustHaveMaintainSqlIndexEnabled
AL0309	error	ERR_TableTooManyKeys
AL0310	error	ERR_ObjectRequired
AL0311	error	ERR_ObjectProhibited
AL0313	error	ERR_AttributeOnlyAllowedIn
AL0314	error	ERR_PropertyOnlyValidInControlOfType
AL0315	error	ERR_ControlNotInGroup
AL0316	error	ERR_ExpressionMustBeIntegerType
AL0317	error	ERR_DuplicateProperty
AL0318	error	ERR_InvalidRunObjectPropertyValue
AL0319	error	ERR_MissingTargetsForMove
AL0320	error	ERR_PageMustSpecifySourceTable
AL0321	error	ERR_InvalidInDatasetDatatype
AL0322	error	ERR_InvalidInClientExpression
AL0323	error	ERR_InvalidSystemPartKind
AL0324	error	ERR_LanguageSpecifiedMoreThanOnce
AL0325	error	ERR_FieldTypeCannotBeUsedInKey
AL0326	error	ERR_InvalidColumnType
AL0327	error	ERR_MissingDocument
AL0329	error	ERR_WordMergeDataItemMustBeTopLevel
AL0331	error	ERR_TopLevelDataItemCannotHaveLinkProperty
AL0332	error	ERR_InvalidControlType
AL0333	error	ERR_InvalidFieldAccessSyntax
AL0334	error	ERR_ExtensionCannotBeDeclared
AL0335	error	ERR_AttributesMustBeNestedInsideElements
AL0336	error	ERR_ThereMustBeOneRootNode
AL0337	error	ERR_MissingTableElement
AL0338	error	ERR_EventTriggerEventPageMissingSourceTableButFilled
AL0340	error	ERR_InvalidRoleCenterPage
AL0341	error	ERR_MissingObjectProperty
AL0342	error	ERR_UnionsAreNotSupportedInQueries
AL0343	error	ERR_QueriesMustHaveTopLevelDataItem
AL0344	error	ERR_DataItemLinkMustBeSetForNestedDataItems
AL0345	error	ERR_QueryElementSourceMustBeFieldOnTable
AL0346	error	ERR_DateMethodsIncompatibleWithQueryColumnType
AL0347	error	ERR_AggregationMethodsIncompatibleWithQueryColumnType
AL0349	error	ERR_MissingColumnReference
AL0350	error	ERR_DuplicateColumnReference
AL0351	error	ERR_DataItemLinkMustReferenceFieldOnAncestorDataItem
AL0352	error	ERR_QueriesMustDefineAtLeastOneColumn
AL0353	error	ERR_QueryColumnsMustDefineSourceExpressionOrCountMethod
AL0354	error	ERR_CannotMoveRelativeToItself
AL0355	error	ERR_CannotMoveMultipleTimes
AL0356	error	ERR_CannotModifyMultipleTimes
AL0357	error	ERR_CannotAddMultipleTimes
AL0358	error	ERR_CannotMoveOrModifyInTheSameExtensionYouAdded
AL0359	error	ERR_InvalidXmlName
AL0360	error	ERR_TextLiteralNotProperlyTerminated
AL0361	error	ERR_IdentifierNotProperlyTerminated
AL0362	error	ERR_PathMustBeRelative
AL0363	error	ERR_PathSeperatorIsNotValidOnCurrentOs
AL0364	error	ERR_OptionReferencedAsMember
AL0365	error	ERR_PropertyValuesAreMutuallyExclusive
AL0366	error	ERR_TableHasToHaveAtLeastOneNormalField
AL0367	error	ERR_ArrayMustHaveAtLeastOneDimension
