AL0000	None	
AL0100	ERR_InvalidMultilineComment	Unterminated multiline comment
AL0101	ERR_InvalidDecimalLiteral	Constant value '{0}' is outside the range for a Decimal
AL0102	ERR_InvalidInt64Literal	Constant value '{0}' is outside the range for a BigInteger
AL0103	ERR_InvalidInt32Literal	Constant value '{0}' is outside the range for an Integer
AL0104	ERR_SyntaxError	Syntax error, '{0}' expected
AL0105	ERR_IdentifierExpectedKW	Syntax error, identifier expected; '{1}' is a keyword
AL0106	ERR_ForStatementToOrDownToExpected	Syntax error, 'TO' or 'DOWNTO' expected
AL0107	ERR_IdentifierExpected	Syntax error, identifier expected. Provide a valid name (letters, digits, and underscores only).
AL0108	ERR_IndexersMustHaveAtLeastOneValue	Indexers must have at least one value. Provide an index value inside the brackets (e.g., [1] or [i]).
AL0109	ERR_UnexpectedToken	Unexpected token encountered. Check syntax for missing operators, keywords, or delimiters.
AL0110	ERR_OrphanedElseStatement	Orphaned ELSE statement. This is most likely because of an unnecessary semicolon placed just before the ELSE keyword
AL0111	ERR_SemicolonExpected	Semicolon expected. Add a semicolon (;) to terminate the statement.
AL0112	ERR_InvalidAttribute	{0} is not a valid attribute. Check the attribute name and supported attributes for this context.
AL0113	ERR_AtLeastOneDimension	At least one dimension must be specified for the array declaration (e.g., [10] or [5,5]).
AL0114	ERR_IntegerLiteralExpected	Syntax error, integer literal expected. Provide a numeric value (e.g., 0, 1, 42).
AL0115	ERR_ObjectTypeExpected	Object type expected. Valid types include: Table, Page, Report, Codeunit, Query, XmlPort, etc.
AL0116	ERR_InvalidPropertyOptionValue	Invalid value for '{0}'. Allowed values are '{1}'
AL0117	ERR_IllegalStatement	Illegal statement. Only assignment and method invocation can be used as a statement.
AL0118	ERR_NameNotInContext	The name '{0}' does not exist in the current context.
AL0119	ERR_DuplicateParamName	The parameter name '{0}' is already defined.
AL0120	ERR_LocalIllegallyOverrides	A local or parameter named '{0}' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter
AL0121	ERR_DuplicateVariableName	The variable name '{0}' is already defined.
AL0122	ERR_NoImplicitConversion	Cannot implicitly convert type '{0}' to '{1}'. Use an explicit conversion or change the type.
AL0123	ERR_DuplicateReturnValueName	The return value name '{0}' is already defined.
AL0124	ERR_PropertyInfoNotAvailable	The property '{0}' cannot be used in this context. Verify the property is available for the current object type.
AL0125	ERR_MethodNameExpected	Method name expected after invocation operator '()'.
AL0126	ERR_BadArgCount	No overload for method '{0}' takes {1} arguments. Candidates: {2}
AL0127	ERR_NonInvocableMemberCalled	Member '{0}' cannot be used like a method. Remove the parentheses or call a valid method.
AL0128	ERR_LanguageIdExpected	Language identifier expected (e.g., 'ENU', 'DEU', or an LCID).
AL0129	ERR_AssgLvalueExpected	The left-hand side of an assignment must be a variable or field
AL0130	ERR_RefLvalueExpected	A 'var' argument must be an assignable variable (field, variable, or parameter), not a constant or expression.
AL0131	ERR_CharAllowedFormatIsWrong	The property CharAllowed must be specified in pairs of characters. The first character in the pair must be equal to or less than the second.
AL0132	ERR_NoSuchMember	'{0}' does not contain a definition for '{1}'
AL0133	ERR_BadArgType	Argument {0}: cannot convert from '{1}' to '{2}'
AL0134	ERR_UnknownType	'{0}' is not recognized as a valid type. Verify the type name is correct and the required dependencies are referenced.
AL0135	ERR_NoCorrespondingArgument	There is no argument given that corresponds to the required formal parameter '{0}' of '{1}'
AL0136	ERR_ForLoopVariableMustBeNumeric	The loop variable in a 'for' statement must be a numeric type
AL0137	ERR_NoBreak	No enclosing loop out of which to break. The 'break' statement can only be used inside a for, while, or repeat loop.
AL0138	ERR_ArrayNotValidForCase	The case expression cannot be an array. Use a simple type (Integer, Text, Option, etc.) for case expressions.
AL0139	ERR_ExitValueNotAllowed	Since '{0}' doesn't have a return value, EXIT cannot be called with a value
AL0140	ERR_ExpressionNotValidForWith	The expression is not valid for the WITH statement. Use a record variable or table reference.
AL0142	ERR_TemporaryMustBeTable	Only variables of type record can be marked as TEMPORARY
AL0143	ERR_BadIndexLHS	Cannot apply indexing with [] to an expression of type '{0}'
AL0144	ERR_BadIndexCount	Wrong number of indices inside []; expected {0}
AL0145	ERR_ArrayNotValidForAssign	Direct assignment is not valid for arrays. Use array indexing to assign individual elements or a loop to copy elements.
AL0146	ERR_ArrayIsTooBig	The maximum number of array elements is {0}. Actual number is {1}
AL0147	ERR_ArrayDimensionMustBePositiveNumber	An array dimension must be a positive number. Use a positive integer value for the array size (e.g., [10]).
AL0148	ERR_InvalidTableFilter	The table filter is not valid. Ensure the filter follows the format: Field=CONST(value) or Field=FILTER(expression).
AL0149	ERR_ElseWithoutIf	There is an 'ELSE' statement without an 'IF' in property {0}
AL0150	ERR_InvalidConstExpression	Invalid CONST expression. A valid integer or an identifier is expected
AL0151	ERR_LeftMustBeOption	Expression must be an Option type. Use '::' to access option members (e.g., MyOption::Value).
AL0152	ERR_DuplicateOption	The value '{0}' is used more than once
AL0153	ERR_PropertyCannotBeBlank	The property '{0}' cannot be blank. Provide a value for this required property.
AL0154	ERR_FieldLengthTooBig	The maximum length for a field of type '{0}' is {1}
AL0155	ERR_DuplicateMemberName	A member of type {0} with name '{1}' is already defined in {2} '{3}' by the extension '{4}'.
AL0156	ERR_InvalidFieldType	'{0}' is not a valid field type. Use basic types (Text, Integer, Decimal, etc.) or reference custom types (Record, Enum, etc.).
AL0157	ERR_InvalidVariableType	'{0}' is not a valid variable type. Use basic types (Text, Integer, Decimal, etc.) or reference custom types (Record, Enum, etc.).
AL0158	ERR_InvalidParameterType	'{0}' is not a valid parameter type. Use basic types (Text, Integer, Decimal, etc.) or reference custom types (Record, Enum, etc.).
AL0159	ERR_InvalidReturnType	'{0}' is not a valid return type. Use basic types (Text, Integer, Decimal, etc.) or reference custom types (Record, Enum, etc.).
AL0160	ERR_InvalidLanguageId	'{0}' is not a valid language identifier. Use a standard language code (e.g., 'ENU', 'DEU') or LCID.
AL0161	ERR_BadAccess	'{0}' is inaccessible due to its protection level
AL0162	ERR_UnknownTrigger	'{0}' is not a valid trigger for this object type. Check the object documentation for supported triggers.
AL0163	ERR_InvalidTriggerSignature	Wrong signature. Correct signature for '{0}' is '{1}'
AL0164	ERR_DuplicateTrigger	The trigger '{0}' is already defined
AL0165	ERR_TriggersCannotBeCalledDirectly	Triggers cannot be called directly. Triggers are automatically invoked by the system in response to events.
AL0166	ERR_BadArgMember	Argument {0}: must be a member (field, property, or variable), not an expression or constant.
AL0167	ERR_MissingAssociatedPropertyMultipleValues	The {0} '{1}' can only be used if the property '{2}' is set with any of the values of: '{3}'
AL0168	ERR_MissingAssociatedProperty	The {0} '{1}' can only be used if the property '{2}' is set
AL0169	ERR_InvalidOptionValue	The option value '{0}' is not valid. Check the enum definition for valid values.
AL0170	ERR_EqualExpected	An '=' is expected for property {0}. Use the format: PropertyName = Value;
AL0171	ERR_InvalidPropertyValue	The property value '{0}' on property '{1}' is not valid.
AL0172	ERR_AmbigUnaryOp	Operator '{0}' is ambiguous on an operand of type '{1}'
AL0173	ERR_BadUnaryOp	Operator '{0}' cannot be applied to an operand of type '{1}'
AL0174	ERR_AmbigBinaryOps	Operator '{0}' is ambiguous on operands of type '{1}' and '{2}'
AL0175	ERR_BadBinaryOps	Operator '{0}' cannot be applied to operands of type '{1}' and '{2}'
AL0176	ERR_InvalidCalculationFormulaMethod	Expected one of the calculation formula methods (Average,Count,Exist,Min,Max,Lookup,Sum)
AL0177	ERR_InvalidApplicationObjectIdentifier	Invalid application object identifier. A number or an application object name is expected
AL0178	ERR_ExpectedFilterKeywordOrIdentifier	A 'FILTER' keyword or an identifier is expected in the filter expression. Use FILTER(...) or a field name.
AL0179	ERR_ExpectedIdentifierOrMemberAccess	An identifier or a member access expression is expected (e.g., 'FieldName' or 'Record.FieldName').
AL0180	ERR_ExpectedFilterKeyword	A 'FILTER' keyword is expected in this context. Use FILTER(...) to specify filter conditions.
AL0181	ERR_InvalidFilterExpression	Invalid filter expression. Check the syntax and ensure all field names and operators are correct.
AL0182	ERR_ExpectedIdentifierOrLiteral	An identifier or a literal is expected as the value of a filter expression
AL0183	ERR_UnexpectedCharacter	Unexpected character '{0}'. Remove the invalid character or check if a special character needs escaping.
AL0184	ERR_InvalidPropertyExpression	The expression '{0}' is not valid. Verify that all referenced fields exist and syntax is correct.
AL0185	ERR_MissingApplicationObject	{0} '{1}' is missing
AL0186	ERR_MissingTypeReference	Reference '{0}' in application object '{1}' does not exist
AL0187	ERR_AttributeAllowedOnlyOn	Attribute '{0}' is valid only for {1}.
AL0189	ERR_MutuallyExclusiveAttributes	Attribute '{0}' cannot be specified, because '{1}' is already specified
AL0190	ERR_InvalidTimeLiteral	Constant value '{0}' is outside the range for a Time
AL0191	ERR_InvalidDateLiteral	Constant value '{0}' is outside the range for a Date. The syntax for defining Date format is yyyymmddD, where D is a mandatory letter. For example, 20180325D, read as the 25th of March, 2018.
AL0192	ERR_ReturnValueMustBeUsed	The return value must be used for the method '{0}'
