id	cop	severity	category	title
AC0000	ApplicationCop	Info	?	
AC0000	DocumentationCop	Info	?	
AC0000	FormattingCop	Info	?	
AC0000	LinterCop	Info	?	
AC0000	PlatformCop	Info	?	
AC0000	TestAutomationCop	Info	?	
AC0001	ApplicationCop	Info	?	
AC0002	ApplicationCop	Warning	?	
AC0003	ApplicationCop	Warning	?	
AC0004	ApplicationCop	Info	?	
AC0005	ApplicationCop	Info	?	
AC0006	ApplicationCop	Warning	?	
AC0007	ApplicationCop	Warning	?	
AC0008	ApplicationCop	Info	?	
AC0009	ApplicationCop	Warning	?	
AC0010	ApplicationCop	Warning	?	
AC0011	ApplicationCop	Info	?	
AC0012	ApplicationCop	Warning	?	
AC0013	ApplicationCop	Info	?	
AC0014	ApplicationCop	Info	?	
AC0015	ApplicationCop	Info	?	
AC0016	ApplicationCop	Info	?	
AC0017	ApplicationCop	Info	?	
AC0018	ApplicationCop	Warning	?	
AC0019	ApplicationCop	Info	?	
AC0020	ApplicationCop	Warning	?	
AC0021	ApplicationCop	Info	?	
AC0022	ApplicationCop	Warning	?	
AC0023	ApplicationCop	Warning	?	
AC0024	ApplicationCop	Warning	?	
AC0025	ApplicationCop	Info	?	
AC0026	ApplicationCop	Info	?	
AC0027	ApplicationCop	Info	?	
AC0028	ApplicationCop	Info	?	
AC0029	ApplicationCop	Info	?	
AC0030	ApplicationCop	Info	?	
AC0031	ApplicationCop	Info	?	
AC0032	ApplicationCop	Info	?	
DC0001	DocumentationCop	Info	?	
DC0002	DocumentationCop	Info	?	
DC0003	DocumentationCop	Info	?	
DC0004	DocumentationCop	Info	?	
DC0005	DocumentationCop	Info	?	
DC0006	DocumentationCop	Info	?	
DC0007	DocumentationCop	Info	?	
DC0008	DocumentationCop	Info	?	
DC0009	DocumentationCop	Info	?	
DC0010	DocumentationCop	Info	?	
FC0001	FormattingCop	Warning	?	
FC0002	FormattingCop	Info	?	
FC0003	FormattingCop	Warning	?	
FC0004	FormattingCop	Info	?	
FC0005	FormattingCop	Warning	?	
FC0006	FormattingCop	Info	?	
FC0007	FormattingCop	Info	?	
LC0003	LinterCop	Warning	?	
LC0007	LinterCop	Info	?	
LC0008	LinterCop	Warning	?	
LC0009	LinterCop	Info	?	
LC0010	LinterCop	Warning	?	
LC0019	LinterCop	Warning	?	
LC0020	LinterCop	Warning	?	
LC0028	LinterCop	Warning	?	
LC0031	LinterCop	Info	?	
LC0033	LinterCop	Warning	?	
LC0040	LinterCop	Warning	?	
LC0043	LinterCop	Warning	?	
LC0048	LinterCop	Warning	?	
LC0052	LinterCop	Warning	?	
LC0053	LinterCop	Warning	?	
LC0054	LinterCop	Warning	?	
LC0063	LinterCop	Info	?	
LC0081	LinterCop	Warning	?	
LC0082	LinterCop	Info	?	
LC0083	LinterCop	Warning	?	
LC0086	LinterCop	Warning	?	
LC0088	LinterCop	Info	?	
LC0089	LinterCop	Info	?	
LC0089i	LinterCop	Info	?	
LC0090	LinterCop	Warning	?	
LC0091	LinterCop	Warning	?	
LC0092	LinterCop	Warning	?	
LC0094	LinterCop	Warning	?	
LC0095	LinterCop	Warning	?	
LC0096	LinterCop	Warning	?	
LC0097	LinterCop	Info	?	
LC0098	LinterCop	Info	?	
LC0099	LinterCop	Info	?	
PC0001	PlatformCop	Warning	?	
PC0002	PlatformCop	Error	?	
PC0003	PlatformCop	Error	?	
PC0004	PlatformCop	Error	?	
PC0005	PlatformCop	Warning	?	
PC0006	PlatformCop	Warning	?	
PC0007	PlatformCop	Error	?	
PC0008	PlatformCop	Error	?	
PC0010	PlatformCop	Warning	?	
PC0011	PlatformCop	Warning	?	
PC0012	PlatformCop	Warning	?	
PC0013	PlatformCop	Error	?	
PC0014	PlatformCop	Warning	?	
PC0015	PlatformCop	Error	?	
PC0016	PlatformCop	Warning	?	
PC0017	PlatformCop	Warning	?	
PC0018	PlatformCop	Error	?	
PC0019	PlatformCop	Warning	?	
PC0020	PlatformCop	Warning	?	
PC0021	PlatformCop	Warning	?	
PC0022	PlatformCop	Warning	?	
PC0023	PlatformCop	Warning	?	
PC0024	PlatformCop	Info	?	
PC0025	PlatformCop	Error	?	
PC0026	PlatformCop	Warning	?	
PC0027	PlatformCop	Warning	?	
PC0028	PlatformCop	Warning	?	
PC0029	PlatformCop	Info	?	
PC0030	PlatformCop	Info	?	
PC0031	PlatformCop	Warning	?	
PC0032	PlatformCop	Error	?	
PC0033	PlatformCop	Warning	?	
PC0034	PlatformCop	Warning	?	
PC0035	PlatformCop	Warning	?	
PC0036	PlatformCop	Warning	?	
PC0037	PlatformCop	Warning	?	
PC0038	PlatformCop	Info	?	
TA0001	TestAutomationCop	Info	?	
